intermediary_name,payer_name,cpt_code,state,allowed_amount,effective_date,notes
Headway,Cigna,99215,OR,,,
Headway,Cigna,90833,OR,,,
Headway,Cigna,90836,OR,,,
Headway,Cigna,90838,OR,,,
Headway,Cigna,99204,WA,,,
Headway,Cigna,99205,WA,,,
Headway,Cigna,99214,WA,,,
Headway,Cigna,99215,WA,,,
Headway,Cigna,90833,WA,,,
Headway,Cigna,90836,WA,,,
Headway,Cigna,90838,WA,,,
Headway,BCBS - Florida,99204,FL,,,
Headway,BCBS - Florida,99205,FL,,,
Headway,BCBS - Florida,99214,FL,,,
Headway,BCBS - Florida,99215,FL,,,
Headway,BCBS - Florida,90833,FL,,,
Headway,BCBS - Florida,90836,FL,,,
Headway,BCBS - Florida,90838,FL,,,
Headway,United Healthcare (Optum),99204,AK,,,
Headway,United Healthcare (Optum),99205,AK,,,
Headway,United Healthcare (Optum),99214,AK,,,
Headway,United Healthcare (Optum),99215,AK,,,
Headway,United Healthcare (Optum),90833,AK,,,
Headway,United Healthcare (Optum),90836,AK,,,
Headway,United Healthcare (Optum),90838,AK,,,
Headway,United Healthcare (Optum),99204,AZ,,,
Headway,United Healthcare (Optum),99205,AZ,,,
Headway,United Healthcare (Optum),99214,AZ,,,
Headway,United Healthcare (Optum),99215,AZ,,,
Headway,United Healthcare (Optum),90833,AZ,,,
Headway,United Healthcare (Optum),90836,AZ,,,
Headway,United Healthcare (Optum),90838,AZ,,,
Headway,United Healthcare (Optum),99204,CO,,,
Headway,United Healthcare (Optum),99205,CO,,,
Headway,United Healthcare (Optum),99214,CO,,,
Headway,United Healthcare (Optum),99215,CO,,,
Headway,United Healthcare (Optum),90833,CO,,,
Headway,United Healthcare (Optum),90836,CO,,,
Headway,United Healthcare (Optum),90838,CO,,,
Headway,United Healthcare (Optum),99204,DC,,,
Headway,United Healthcare (Optum),99205,DC,,,
Headway,United Healthcare (Optum),99214,DC,,,
Headway,United Healthcare (Optum),99215,DC,,,
Headway,United Healthcare (Optum),90833,DC,,,
Headway,United Healthcare (Optum),90836,DC,,,
Headway,United Healthcare (Optum),90838,DC,,,
Headway,United Healthcare (Optum),99204,FL,,,
Headway,United Healthcare (Optum),99205,FL,,,
Headway,United Healthcare (Optum),99214,FL,,,
Headway,United Healthcare (Optum),99215,FL,,,
Headway,United Healthcare (Optum),90833,FL,,,
Headway,United Healthcare (Optum),90836,FL,,,
Headway,United Healthcare (Optum),90838,FL,,,
Headway,United Healthcare (Optum),99204,IA,,,
Headway,United Healthcare (Optum),99205,IA,,,
Headway,United Healthcare (Optum),99214,IA,,,
Headway,United Healthcare (Optum),99215,IA,,,
Headway,United Healthcare (Optum),90833,IA,,,
Headway,United Healthcare (Optum),90836,IA,,,
Headway,United Healthcare (Optum),90838,IA,,,
Headway,United Healthcare (Optum),99204,MD,,,
Headway,United Healthcare (Optum),99205,MD,,,
Headway,United Healthcare (Optum),99214,MD,,,
Headway,United Healthcare (Optum),99215,MD,,,
Headway,United Healthcare (Optum),90833,MD,,,
Headway,United Healthcare (Optum),90836,MD,,,
Headway,United Healthcare (Optum),90838,MD,,,
Headway,United Healthcare (Optum),99204,MN,,,
Headway,United Healthcare (Optum),99205,MN,,,
Headway,United Healthcare (Optum),99214,MN,,,
Headway,United Healthcare (Optum),99215,MN,,,
Headway,United Healthcare (Optum),90833,MN,,,
Headway,United Healthcare (Optum),90836,MN,,,
Headway,United Healthcare (Optum),90838,MN,,,
Headway,United Healthcare (Optum),99204,MT,,,
Headway,United Healthcare (Optum),99205,MT,,,
Headway,United Healthcare (Optum),99214,MT,,,
Headway,United Healthcare (Optum),99215,MT,,,
Headway,United Healthcare (Optum),90833,MT,,,
Headway,United Healthcare (Optum),90836,MT,,,
Headway,United Healthcare (Optum),90838,MT,,,
Headway,United Healthcare (Optum),99204,OR,,,
Headway,United Healthcare (Optum),99205,OR,,,
Headway,United Healthcare (Optum),99214,OR,,,
Headway,United Healthcare (Optum),99215,OR,,,
Headway,United Healthcare (Optum),90833,OR,,,
Headway,United Healthcare (Optum),90836,OR,,,
Headway,United Healthcare (Optum),90838,OR,,,
Headway,United Healthcare (Optum),99204,WA,,,
Headway,United Healthcare (Optum),99205,WA,,,
Headway,United Healthcare (Optum),99214,WA,,,
Headway,United Healthcare (Optum),99215,WA,,,
Headway,United Healthcare (Optum),90833,WA,,,
Headway,United Healthcare (Optum),90836,WA,,,
Headway,United Healthcare (Optum),90838,WA,,,
Headway,Oscar (Optum),99204,FL,,,
Headway,Oscar (Optum),99205,FL,,,
Headway,Oscar (Optum),99214,FL,,,
Headway,Oscar (Optum),99215,FL,,,
Headway,Oscar (Optum),90833,FL,,,
Headway,Oscar (Optum),90836,FL,,,
Headway,Oscar (Optum),90838,FL,,,
Headway,Oscar (Optum),99204,OR,,,
Headway,Oscar (Optum),99205,OR,,,
Headway,Oscar (Optum),99214,OR,,,
Headway,Oscar (Optum),99215,OR,,,
Headway,Oscar (Optum),90833,OR,,,
Headway,Oscar (Optum),90836,OR,,,
Headway,Oscar (Optum),90838,OR,,,
Headway,Oscar (Optum),99204,WA,,,
Headway,Oscar (Optum),99205,WA,,,
Headway,Oscar (Optum),99214,WA,,,
Headway,Oscar (Optum),99215,WA,,,
Headway,Oscar (Optum),90833,WA,,,
Headway,Oscar (Optum),90836,WA,,,
Headway,Oscar (Optum),90838,WA,,,
Headway,Oxford (Optum),99204,FL,,,
Headway,Oxford (Optum),99205,FL,,,
Headway,Oxford (Optum),99214,FL,,,
Headway,Oxford (Optum),99215,FL,,,
Headway,Oxford (Optum),90833,FL,,,
Headway,Oxford (Optum),90836,FL,,,
Headway,Oxford (Optum),90838,FL,,,
Headway,Oxford (Optum),99204,MD,,,
Headway,Oxford (Optum),99205,MD,,,
Headway,Oxford (Optum),99214,MD,,,
Headway,Oxford (Optum),99215,MD,,,
Headway,Oxford (Optum),90833,MD,,,
Headway,Oxford (Optum),90836,MD,,,
Headway,Oxford (Optum),90838,MD,,,
Headway,Florida Blue,99204,FL,,,
Headway,Florida Blue,99205,FL,,,
Headway,Florida Blue,99214,FL,,,
Headway,Florida Blue,99215,FL,,,
Headway,Florida Blue,90833,FL,,,
Headway,Florida Blue,90836,FL,,,
Headway,Florida Blue,90838,FL,,,
Headway,Premera Blue Cross Washington,99204,WA,,,
Headway,Premera Blue Cross Washington,99205,WA,,,
Headway,Premera Blue Cross Washington,99214,WA,,,
Headway,Premera Blue Cross Washington,99215,WA,,,
Headway,Premera Blue Cross Washington,90833,WA,,,
Headway,Premera Blue Cross Washington,90836,WA,,,
Headway,Premera Blue Cross Washington,90838,WA,,,
Headway,Premera Blue Cross Washington,99204,AK,,,
Headway,Premera Blue Cross Washington,99205,AK,,,
Headway,Premera Blue Cross Washington,99214,AK,,,
